"","Temperature","quantis","allRRfit","allRRlow","allRRhigh"
"1",11.6,"P2.5",0.8,0.73,0.88
"2",13.7,"P10",0.87,0.83,0.91
"3",21.2,"P90",1.36,1.22,1.52
"4",22.4,"P97.5",1.31,1.16,1.48
